Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
bride-doll-pasties-pink-iconic-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/pt-hrt-brida.png?v=1703801840,3,,,
bride-doll-pasties-pink-iconic-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/pt-hrt-bridc.png?v=1703801874,4,,,
bride-doll-pasties-pink-iconic-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/pt-HRT-YESc_f48b93d9-3cb0-484c-8aa6-4a0ffb9e3415.jpg?v=1703802207,5,,,
bride-heart-pasties-robin-egg-blue,Bride' Heart Pasties - Robin Egg Blue,"Love: Robin's Egg Blue 'Bride' Heart Nipple Pasties by Pastease® are hand-made in the USA of soft form-fitting material that forms seamlessly to curves and resists wrinkling over hardening nipples. <br>Just peel-and-stick on clean, dry skin. All Pastease® feature latex-free, medical-grade, waterproof adhesive that stay securely in place for as long as you like and until they are gently removed.<br>Conceal or Reveal with Pastease® nipple pasties when worn with a sexy outfit, daring bikini, sheer top, revealing dress, Hefty bag, body lotion, crazy costume, party theme or nothing at all!<br>Dimensions: 3 inches wide by 2.5 inches tall <br>Coverage: 1.8 inches<br>Pastease® are the Funmaker that brings out your inner Tease!<br>All Pastease® products are hand-made, so the finished product you receive may vary slightly from the posted image. Go get your Sexy Fun Freedom On! X?X? Pastease®!",Pastease Pasties,,Pasties,"BFCM2025, Dropshipping Enabled, nipple-25, pastease-pasties, pasty",TRUE,Title,Default Title,,,,,PTHRT-B-TB,0,shopify,7,deny,manual,7.25,,TRUE,TRUE,785123872979,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/PTHRT-B-TBb.jpg?v=1667863035,1,,FALSE,active
bride-heart-pasties-robin-egg-blue,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/PTHRT-B-TBa.jpg?v=1667863039,2,,,
dirty-heart-pasties-pink-on-pink,DIRTY' Heart Pasties - Pink on Pink,"Love: 'DIRTY' Heart Nipple Pasties by Pastease®<br>Love: 'DIRTY' Heart Nipple Pasties by Pastease® are hand-made in the USA of soft form-fitting material that forms to curves and resists wrinkling over hardening nipples. <br>Just peel-and-stick on clean, dry skin!  All Pastease® pasties feature latex-free, medical-grade, waterproof adhesive that stays securely in place for as long as you like and until they are gently removed. <br>Conceal or Reveal with Pastease® nipple pasties when worn with a sexy outfit, daring bikini, sheer top, revealing dress, Hefty bag, body lotion, crazy costume, party theme or nothing at all!<br>Dimensions: 3 inches wide x 2.5 inches tall <br>Coverage: 1.8 inches<br> Pastease® are the Funmaker that brings out your inner Tease! <br>All Pastease® products are hand-made, so the finished product you receive may vary slightly from the posted image. Go get your Sexy Fun Freedom On! X?X? Pastease®!",Pastease Pasties,,Pasties,"BFCM2025, Dropshipping Enabled, nipple-25, pastease-pasties, pasty",TRUE,Title,Default Title,,,,,PTHRT-DRT,0,shopify,12,deny,manual,7.25,,TRUE,TRUE,694536306998,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/dirty1.jpg?v=1654038399,1,,FALSE,active
dirty-heart-pasties-pink-on-pink,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/dirty.jpg?v=1654038402,2,,,
do-me-heart-pasties-pink-on-pink,DO ME' Heart Pasties - Pink on Pink,"Love: 'DO ME'  Heart Nipple Pasties by Pastease® are hand-made in the USA of soft form-fitting material that forms to curves and resists wrinkling over hardening nipples. <br>Just peel-and-stick on clean, dry skin!  All Pastease® pasties feature latex-free, medical-grade, waterproof adhesive that stays securely in place for as long as you like and until they are gently removed. <br>Conceal or Reveal with Pastease® nipple pasties when worn with a sexy outfit, daring bikini, sheer top, revealing dress, Hefty bag, body lotion, crazy costume, party theme or nothing at all!<br>Dimensions: 3 inches wide x 2.5 inches tall <br>Coverage: 1.8 inches<br> Pastease® are the Funmaker that brings out your inner Tease! <br>All Pastease® products are hand-made, so the finished product you receive may vary slightly from the posted image. Go get your Sexy Fun Freedom On! X?X? Pastease®!",Pastease Pasties,,Pasties,"BFCM2025, Dropshipping Enabled, nipple-25, pastease-pasties, pasty",TRUE,Title,Default Title,,,,,PTHRT-DM-GLT-PK,0,shopify,9,deny,manual,7.25,,TRUE,TRUE,694536306899,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/dome.png?v=1666116476,1,,FALSE,active
lets-do-butt-stuff-black-pink-heart,Let's Do Butt Stuff' Black & Pink Heart,"Love: 'Let's Do Butt Stuff' in Black &amp; Pink Heart Nipple Pasties by Pastease® are hand-made in the USA of soft form-fitting material that forms to curves and resists wrinkling over hardening nipples. <br>Just peel-and-stick on clean, dry skin!  All Pastease® pasties feature latex-free, medical-grade, waterproof adhesive that stays securely in place for as long as you like and until they are gently removed. <br>Conceal or Reveal with Pastease® nipple pasties when worn with a sexy outfit, daring bikini, sheer top, revealing dress, Hefty bag, body lotion, crazy costume, party theme or nothing at all!<br>Dimensions: 3 inches wide x 2.5 inches tall <br>Coverage: 1.8 inches<br> Pastease® are the Funmaker that brings out your inner Tease! <br>All Pastease® products are hand-made, so the finished product you receive may vary slightly from the posted image. Go get your Sexy Fun Freedom On! X?X? Pastease®!",Pastease Pasties,,Pasties,"BFCM2025, Dropshipping Enabled, nipple-25, pastease-pasties, pasty",TRUE,Title,Default Title,,,,,PTHRT-LDBS,0,shopify,9,deny,manual,7.25,,TRUE,TRUE,792264878395,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/PTHRT-LDBS.jpg?v=1667862999,1,,FALSE,active
lets-do-butt-stuff-black-pink-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/products/PTHRT-LDBSa.jpg?v=1667863004,2,,,
